IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
64.186.240.12,443,TRUE,LAX,US,California,155,322,AS906
179.255.156.8,443,TRUE,LAX,US,California,155,359,AS906
179.255.148.158,443,TRUE,LAX,US,California,155,339,AS906
154.26.184.254,443,TRUE,LAX,US,California,155,361,AS906
154.17.15.252,443,TRUE,LAX,US,California,154,344,AS906
64.186.236.64,443,TRUE,LAX,US,California,155,358,AS906
179.255.117.31,443,TRUE,LAX,US,California,187,349,AS906
154.17.26.151,443,TRUE,LAX,US,California,211,352,AS906
179.253.248.133,443,TRUE,LAX,US,California,156,359,AS906
179.253.236.145,443,TRUE,LAX,US,California,1201,352,AS906
191.223.209.96,443,TRUE,HKG,HK,,1028,1828,AS906
191.223.212.230,443,TRUE,HKG,HK,,22,562,AS906
154.17.27.187,443,TRUE,LAX,US,California,155,343,AS906
179.255.156.160,443,TRUE,LAX,US,California,152,321,AS906
69.63.203.58,443,TRUE,LAX,US,California,156,364,AS906
179.253.236.102,443,TRUE,LAX,US,California,154,325,AS906
179.255.101.73,443,TRUE,LAX,US,California,163,363,AS906
179.255.156.3,443,TRUE,LAX,US,California,154,340,AS906
179.253.224.61,443,TRUE,LAX,US,California,151,329,AS906
179.255.112.97,443,TRUE,LAX,US,California,157,316,AS906
64.186.237.138,443,TRUE,LAX,US,California,169,354,AS906
179.255.149.79,443,TRUE,LAX,US,California,175,334,AS906
191.222.220.5,2096,TRUE,HKG,HK,,24,1986,AS906
191.223.208.210,8443,TRUE,HKG,HK,,36,858,AS906
154.17.31.60,443,TRUE,LAX,US,California,168,0,AS906
154.12.177.26,443,TRUE,HKG,HK,,34,2147,AS906
179.255.144.37,443,TRUE,LAX,US,California,155,341,AS906
179.255.104.195,443,TRUE,LAX,US,California,194,334,AS906
64.186.224.202,443,TRUE,LAX,US,California,163,340,AS906
179.255.108.176,443,TRUE,LAX,US,California,228,353,AS906
69.63.221.30,443,TRUE,LAX,US,California,149,347,AS906
69.63.210.204,443,TRUE,LAX,US,California,241,334,AS906
179.255.144.92,443,TRUE,LAX,US,California,162,367,AS906
191.222.218.93,443,TRUE,HKG,HK,,79,2090,AS906
154.17.10.128,8443,TRUE,LAX,US,California,238,344,AS906
69.63.197.70,443,TRUE,LAX,US,California,175,143,AS906
179.255.100.195,8443,TRUE,LAX,US,California,235,336,AS906
179.255.124.28,443,TRUE,LAX,US,California,170,337,AS906
154.17.233.72,8443,TRUE,LAX,US,California,166,345,AS906
154.17.3.148,443,TRUE,LAX,US,California,153,208,AS906
179.255.120.75,443,TRUE,LAX,US,California,166,327,AS906
154.26.179.55,443,TRUE,LAX,US,California,185,349,AS906
179.255.113.55,8443,TRUE,LAX,US,California,158,328,AS906
154.17.4.159,2053,TRUE,LAX,US,California,163,337,AS906
179.253.224.191,443,TRUE,LAX,US,California,153,309,AS906
64.186.226.2,443,TRUE,LAX,US,California,156,356,AS906
64.186.230.181,443,TRUE,LAX,US,California,150,282,AS906
179.253.245.1,8443,TRUE,LAX,US,California,150,360,AS906
191.222.212.153,443,TRUE,NRT,JP,Tokyo,75,481,AS906
179.255.96.101,443,TRUE,LAX,US,California,165,345,AS906
179.255.124.251,443,TRUE,LAX,US,California,150,325,AS906
179.253.225.36,8443,TRUE,LAX,US,California,231,349,AS906
179.253.228.68,443,TRUE,LAX,US,California,155,295,AS906
64.186.235.202,443,TRUE,LAX,US,California,174,361,AS906
64.186.237.121,443,TRUE,LAX,US,California,149,313,AS906
154.12.177.92,443,TRUE,HKG,HK,,22,28,AS906
64.186.228.92,443,TRUE,LAX,US,California,155,208,AS906
179.253.224.180,2053,TRUE,LAX,US,California,172,357,AS906
179.253.248.191,443,TRUE,LAX,US,California,159,329,AS906
179.255.148.49,443,TRUE,LAX,US,California,162,348,AS906
154.26.177.177,443,TRUE,LAX,US,California,272,343,AS906
64.186.255.128,443,TRUE,LAX,US,California,160,354,AS906
179.255.108.250,443,TRUE,LAX,US,California,231,341,AS906
191.222.209.189,443,TRUE,NRT,JP,Tokyo,67,778,AS906
179.255.108.125,443,TRUE,LAX,US,California,148,316,AS906
179.253.224.205,443,TRUE,LAX,US,California,154,354,AS906
64.186.237.246,443,TRUE,LAX,US,California,153,333,AS906
179.255.100.10,443,TRUE,LAX,US,California,149,347,AS906
64.186.246.65,443,TRUE,LAX,US,California,167,153,AS906
179.255.112.151,443,TRUE,LAX,US,California,153,346,AS906
179.255.108.179,443,TRUE,LAX,US,California,203,347,AS906
179.253.236.130,443,TRUE,LAX,US,California,152,358,AS906
69.63.207.112,443,TRUE,LAX,US,California,175,220,AS906
179.253.228.241,443,TRUE,LAX,US,California,158,363,AS906
191.223.213.16,443,TRUE,HKG,HK,,24,307,AS906
179.255.148.204,443,TRUE,LAX,US,California,150,346,AS906
